,Place Overall,Place Gender,Name (CTZ),BIB,Division,HALF,Finish
11124,11114,2616,"Di Cristofano, Kaitlyn (USA)",17955,30-34,01:43:40,03:31:46
11125,11115,2617,"Hidalgo, Ruddy (ECU)",7755,30-34,01:43:53,03:31:47
11126,11116,8468,"Donaldson, Brendan (USA)",1653,40-44,01:43:52,03:31:47
11127,11117,8469,"Kawase, Yoji (JPN)",26402,70-74,01:45:16,03:31:47
11128,11118,8470,"Lovell, Chris (USA)",45535,30-34,01:46:16,03:31:47
11129,11119,8471,"Adams, Peter (CAN)",3726,40-44,01:43:59,03:31:47
11130,11120,8472,"Rojas, Felipe (MEX)",26851,65-69,01:42:00,03:31:48
11131,11121,8473,"Azulay, Jack (ISR)",38769,55-59,01:42:37,03:31:48
11132,11122,8474,"Tristan, Juan Claudio (ARG)",15776,55-59,01:45:16,03:31:48
11133,11123,8475,"Tso, YuanHao (TPE)",11033,45-49,01:46:37,03:31:49
11134,11124,8476,"Thomas, Alun (GBR)",12556,50-54,01:43:55,03:31:49
11135,11125,2618,"Lietar, Audrey (USA)",13520,30-34,01:45:21,03:31:49
11136,11126,8477,"Jovanovic, Luka (MNE)",11370,30-34,01:46:43,03:31:49
11137,11127,2619,"Abromovich, Shosh (USA)",13056,35-39,01:45:17,03:31:49
11138,11128,2620,"Willis, Janine (CAN)",3442,45-49,01:42:31,03:31:49
11139,11129,8478,"Conceicao, Igo (BRA)",39183,40-44,01:44:05,03:31:49
11140,11130,2621,"Campana, Alejandra (PER)",1739,35-39,01:46:38,03:31:50
11141,11131,8479,"Laneuville, Danick (CAN)",6743,40-44,01:42:41,03:31:50
11142,11132,2622,"Bode, Louisa (DEN)",1931,45-49,01:47:37,03:31:50
11143,11133,8480,"Dimovski, Dennis (AUS)",22645,30-34,01:45:04,03:31:50
11144,11134,8481,"Lange, Johannes (Jon) (NED)",19906,35-39,01:44:34,03:31:51
11145,11135,2623,"Rebelo, Rita (POR)",10860,40-44,01:44:48,03:31:51
11146,11136,8482,"Crump, Sean (USA)",22810,20-24,01:42:13,03:31:51
11147,11137,8483,"Blair, Casey (USA)",17338,25-29,01:44:21,03:31:52
11148,11138,8484,"Wang, Jian (CHN)",6789,35-39,01:39:05,03:31:52
11149,11139,8485,"Kopbayev, Asset (KAZ)",6388,35-39,01:32:23,03:31:52
11150,11140,8486,"Fowler, Howard (USA)",19301,55-59,01:45:06,03:31:53
11151,11141,2624,"Litvinenko, Anastasia (BLR)",7971,30-34,01:45:05,03:31:53
11152,11142,2625,"Remes, Johanna (USA)",26535,55-59,01:43:22,03:31:53
11153,11143,8487,"Perreault, Charles (USA)",15489,40-44,01:46:38,03:31:53
11154,11144,8488,"Garcia Corrales, Alejandro (MEX)",23488,40-44,01:38:48,03:31:53
11155,11145,8489,"Chaillou, Gerald (FRA)",5944,45-49,01:44:27,03:31:53
11156,11146,8490,"Pakonen, Richard (USA)",1689,55-59,01:46:40,03:31:54
11157,11147,8491,"Fenrick, Ryan (USA)",24603,30-34,01:38:53,03:31:54
11158,11148,2626,"Rappl, Christina (USA)",17274,30-34,01:43:38,03:31:54
11159,11149,8492,"Go, Christopher (USA)",24545,60-64,01:41:42,03:31:55
11160,11150,8493,"Felix Marques, Edson (BRA)",5730,35-39,01:43:39,03:31:55
11161,11151,8494,"Glienke, Mike (USA)",33540,35-39,01:45:02,03:31:55
11162,11152,2627,"Shen, Lan (USA)",26498,50-54,01:43:05,03:31:55
11163,11153,2628,"Yecla, Marsha (PHI)",12356,30-34,01:42:16,03:31:56
11164,11154,8495,"Neikirk, Jared (USA)",18018,20-24,01:35:59,03:31:56
11165,11155,8496,"Ramos, Adam (USA)",21672,35-39,01:36:42,03:31:56
11166,11156,8497,"Wood, Matt (USA)",39095,25-29,01:52:06,03:31:57
11167,11157,2629,"Mendonca Yoo, Marilia (BRA)",3943,35-39,01:45:41,03:31:57
11168,11158,8498,"Brown, Geof (USA)",13634,55-59,01:46:18,03:31:57
11169,11159,8499,"Infante, Luis (VEN)",22676,30-34,01:47:51,03:31:58
11170,11160,8500,"Christian, Sven (GER)",26377,55-59,01:43:19,03:31:58
11171,11161,2630,"Forster, Brittney (USA)",530,45-49,01:36:17,03:31:58
11172,11162,8501,"Scaramuzzo, Pietro (ITA)",5963,40-44,01:44:08,03:31:58
11173,11163,2631,"Huskey, HyeWon (USA)",14726,35-39,01:48:07,03:31:58
11174,11164,8502,"Nam, Hyokwoo (KOR)",24155,50-54,01:39:38,03:31:59
11175,11165,8503,"Clare, Dain (USA)",38357,30-34,01:46:50,03:31:59
11176,11166,2632,"Graber, Aeva (USA)",33166,20-24,01:43:07,03:31:59
11177,11167,8504,"Contillo, Anthony (USA)",21649,55-59,01:47:13,03:32:00
11178,11168,8505,"Alfonso, Carlos (USA)",45813,35-39,01:47:17,03:32:00
11179,11169,8506,"Curtis, William (USA)",19668,25-29,01:43:22,03:32:00
11180,11170,8507,"Jonesi, Jason (USA)",19859,30-34,01:46:02,03:32:00
11181,11171,2633,"Salazar, Anabela (POR)",11338,50-54,01:43:48,03:32:00
11182,11172,8508,"Khennas, Smail (ALG)",26923,70-74,01:45:56,03:32:01
11183,11173,2634,"Gutierrez, Tania (PER)",10795,35-39,01:46:46,03:32:01
11184,11174,8509,"Pierluigi, Alberto (ITA)",26397,65-69,01:43:30,03:32:01
11185,11175,2635,"Valsoni, Barbara (ITA)",6416,45-49,01:47:03,03:32:02
11186,11176,8510,"Zieja, Anthony (USA)",15385,40-44,01:44:01,03:32:02
11187,11177,8511,"Wall, Matt (USA)",16002,30-34,01:31:41,03:32:02
11188,11178,2636,"Mathes, Nicole (USA)",16412,30-34,01:43:17,03:32:02
11189,11179,2637,"Lane, Kelsey (USA)",14323,30-34,01:42:35,03:32:03
11190,11180,2638,"Li, Mei (USA)",19581,50-54,01:46:03,03:32:03
11191,11181,2639,"Karabassova, Alma (KAZ)",17987,40-44,01:45:11,03:32:03
11192,11182,2640,"Larson, Kacie (USA)",19540,40-44,01:44:54,03:32:04
11193,11183,8512,"Nelson, Max (USA)",21477,30-34,01:45:54,03:32:04
11194,11184,2641,"Espinosa, Maricruz (MEX)",7474,25-29,01:39:34,03:32:04
11195,11185,8513,"Ferro, Roberto (MEX)",9925,40-44,01:42:01,03:32:04
11196,11186,8514,"St. Andre, Justin (USA)",1609,40-44,01:44:37,03:32:05
11197,11187,2642,"Nilles, Vicki (USA)",12849,35-39,01:42:37,03:32:05
11198,11188,8515,"Andersen, Mikael (DEN)",5880,45-49,01:44:03,03:32:05
11199,11189,8516,"Strayer, Jeremy (USA)",22754,45-49,01:42:57,03:32:05
11200,11190,8517,"Moreo, William (USA)",32982,30-34,01:44:28,03:32:05
11201,11191,8518,"Corbitt, Taylor (USA)",13577,30-34,01:43:54,03:32:06
11202,11192,8519,"Impey, Christopher (CAN)",1894,50-54,01:46:43,03:32:06
11203,11193,2643,"Packard, Sydney (USA)",17446,25-29,01:43:27,03:32:06
11204,11194,8520,"Sakurai, Kazuo (JPN)",26033,60-64,01:40:11,03:32:06
11205,11195,2644,"Dineen, Regan (USA)",20842,20-24,01:47:26,03:32:06
11206,11196,8521,"Cagle, Chris (USA)",18507,40-44,01:44:19,03:32:06
11207,11197,8522,"Clark, Daniel (USA)",23447,40-44,01:39:15,03:32:06
11208,11198,8523,"Short, Adam (USA)",25608,45-49,01:39:41,03:32:06
11209,11199,8524,"Por, John (USA)",18649,30-34,01:43:36,03:32:06
11210,11200,2645,"Catalan, Claudia (CHI)",26361,60-64,01:43:14,03:32:07
11211,11201,2646,"Ng, Su (USA)",12965,45-49,01:47:20,03:32:07
11212,11202,8525,"Hertaus, Tim (USA)",16186,50-54,01:43:27,03:32:07
11213,11203,2647,"Edwards, Christina (USA)",13387,40-44,01:42:12,03:32:07
11214,11204,8526,"Pepori, Luca (ITA)",31554,45-49,01:48:57,03:32:07
11215,11205,8527,"Marsalli, David (USA)",26174,60-64,01:43:10,03:32:07
11216,11206,2648,"Russell, Sara (USA)",17158,45-49,01:44:58,03:32:07
11217,11207,8528,"Ahn, Hee Kyung (KOR)",24738,60-64,01:45:57,03:32:08
11218,11208,2649,"Sotomonte, Victoria (COL)",5397,50-54,01:45:04,03:32:08
11219,11209,2650,"Dooms, Claire (USA)",2811,35-39,01:47:36,03:32:08
11220,11210,2651,"May, Jill (USA)",26605,40-44,01:45:15,03:32:09
11221,11211,8529,"Giannone, Gianmaria (ITA)",11368,40-44,01:42:37,03:32:09
11222,11212,2652,"Newcomer, Liz (USA)",29586,25-29,01:43:36,03:32:09
11223,11213,2653,"Pidner, Kellins (BRA)",26323,40-44,01:44:16,03:32:09
11224,11214,8530,"Dini, Bruno (BRA)",8781,40-44,01:46:19,03:32:09
11225,11215,2654,"Willman, Kelly (USA)",26620,40-44,01:44:20,03:32:09
11226,11216,2655,"Selner, Ashley (USA)",35978,30-34,01:42:43,03:32:09
11227,11217,2656,"Huang, Qian (CHN)",34332,40-44,01:43:25,03:32:09
11228,11218,8531,"Rivera, Mark (USA)",1317,40-44,01:34:47,03:32:09
11229,11219,2657,"Enright, Meris (USA)",13415,35-39,01:48:41,03:32:09
11230,11220,8532,"Connolly, Eamonn (USA)",21720,50-54,01:41:20,03:32:09
11231,11221,8533,"Bhatnagar, Caleb (USA)",13977,25-29,01:45:04,03:32:10
11232,11222,8534,"Castro, Ivan (MEX)",7426,35-39,01:37:53,03:32:10
11233,11223,2658,"Van Dijkum, Alexandra (USA)",17523,20-24,01:41:09,03:32:10
11234,11224,8535,"Hastings, Alexander (USA)",9060,20-24,01:19:54,03:32:11
11235,11225,8536,"Rovani, David (USA)",23455,40-44,01:39:02,03:32:11
11236,11226,8537,"Giovanniello, Massimiliano (ITA)",7874,40-44,01:45:04,03:32:11
11237,11227,8538,"Quintal Catzin, Francisco Alejandro (MEX)",32536,40-44,01:49:36,03:32:11
11238,11228,2659,"Piedras, Pamela (MEX)",7475,35-39,01:44:19,03:32:11
11239,11229,2660,"Wick, Emily (USA)",10182,20-24,01:37:33,03:32:11
11240,11230,2661,"Lamberson, Laura S. (USA)",16396,50-54,01:46:22,03:32:12
11241,11231,8539,"Tum Santos, Sergio Estuardo (GUA)",16650,40-44,01:38:16,03:32:12
11242,11232,8540,"Cimini, Robert (USA)",15363,50-54,01:43:48,03:32:12
11243,11233,8541,"Yao, Tsz Man (HKG)",5522,40-44,01:37:34,03:32:12
11244,11234,8542,"Lapthanapul, Krishanond (THA)",35115,30-34,01:41:00,03:32:12
11245,11235,8543,"Puente, Francisco (MEX)",22651,30-34,01:44:53,03:32:13
11246,11236,8544,"Doerr, Clark (USA)",20843,25-29,01:50:02,03:32:13
11247,11237,8545,"Helbock, Harry (USA)",15818,25-29,01:48:13,03:32:13
11248,11238,8546,"Stehr, Simon (USA)",22710,20-24,01:51:08,03:32:14
11249,11239,8547,"Rogers, Andrew (GBR)",10566,50-54,01:36:29,03:32:14
11250,11240,8548,"Hull, Brent (USA)",19999,25-29,01:44:37,03:32:14
11251,11241,2662,"Arcos Sotelo, Leonela Simonne (MEX)",9719,25-29,01:42:47,03:32:14
11252,11242,2663,"Keane, Victoire (USA)",1701,25-29,01:43:18,03:32:15
11253,11243,8549,"Stachurski, Christopher (USA)",24120,25-29,01:42:04,03:32:15
11254,11244,8550,"Ghaib, Akeel (CAN)",6653,50-54,01:42:55,03:32:15
11255,11245,2664,"Stewart, Jennifer (USA)",24729,45-49,01:44:15,03:32:15
11256,11246,8551,"Karls, Josh (USA)",14445,25-29,01:42:02,03:32:15
11257,11247,2665,"Jones, Anna (USA)",18601,30-34,01:42:05,03:32:15
11258,11248,8552,"Mbugua, Alvin (KEN)",9981,40-44,01:48:32,03:32:15
11259,11249,2666,"Nordland, Karie (USA)",13651,35-39,01:42:26,03:32:16
11260,11250,8553,"Kim, Joon (USA)",31863,45-49,01:44:21,03:32:16
11261,11251,2667,"Pinheiro, Nathalia (BRA)",5745,35-39,01:43:46,03:32:16
11262,11252,2668,"Fonseca, Adriana (MEX)",24114,20-24,01:40:49,03:32:16
11263,11253,2669,"Kingston, Kristen (USA)",17704,25-29,01:43:57,03:32:16
11264,11254,8554,"Navarrete, Andrew (USA)",20629,35-39,01:39:06,03:32:16
11265,11255,2670,"Pryce-Jones, Kathleen (USA)",29728,40-44,01:46:08,03:32:17
11266,11256,2671,"Hovde, Kari Beate (NOR)",26862,45-49,01:45:26,03:32:17
11267,11257,2672,"Velazquez, Dora (CAN)",5219,40-44,01:40:21,03:32:17
11268,11258,8555,"Cordero, Aaron (CRC)",24671,25-29,01:39:26,03:32:18
11269,11259,2673,"Woodfield, Courtney (USA)",26277,45-49,01:40:04,03:32:18
11270,11260,2674,"Grippa, Rhebeka (BRA)",27946,35-39,01:46:31,03:32:18
11271,11261,8556,"Torres, Luciano (USA)",17023,30-34,01:41:34,03:32:19
11272,11262,8557,"Zenteno, Daniel (MEX)",23522,35-39,01:33:50,03:32:19
11273,11263,8558,"Ma, Chi Him (HKG)",6950,35-39,01:43:03,03:32:19
11274,11264,8559,"Uniejewski, Nick (USA)",15970,25-29,01:38:35,03:32:19
11275,11265,2675,"Yu, Ting (CHN)",4473,45-49,01:42:26,03:32:19
11276,11266,8560,"Verbon, Joan (USA)",30699,45-49,01:46:26,03:32:19
11277,11267,2676,"Slowek, Beata (POL)",11310,40-44,01:42:40,03:32:20
11278,11268,2677,"Stephens, Latoya (USA)",24070,45-49,01:42:43,03:32:20
11279,11269,8561,"Curl, Jacob (USA)",21693,25-29,01:44:05,03:32:20
11280,11270,2678,"Bacon, Kimberly (USA)",11836,25-29,01:47:30,03:32:20
11281,11271,8562,"Schlieder, Zachary (USA)",4719,30-34,01:43:34,03:32:21
11282,11272,2679,"Swette, Alexandria (USA)",12014,35-39,01:43:37,03:32:21
11283,11273,8563,"Claveria Lezama, Christian ramiro (MEX)",21502,40-44,01:34:18,03:32:21
11284,11274,2680,"Real, Mariana (BRA)",3991,25-29,01:46:46,03:32:21
11285,11275,8564,"Robinson, Colin (USA)",24414,35-39,01:43:00,03:32:22
11286,11276,8565,"Delgado, Adrian (MEX)",17387,60-64,01:44:09,03:32:23
11287,11277,2681,"Martin, Kristin (USA)",12188,40-44,01:43:52,03:32:23
11288,11278,2682,"Pappas, Diana (CAN)",26335,45-49,01:45:19,03:32:23
11289,11279,8566,"Pierdant Gonzalez, Ricardo (MEX)",23224,35-39,01:44:11,03:32:23
11290,11280,8567,"Terraza Mejia, Oscar (GUA)",8654,35-39,01:37:40,03:32:24
11291,11281,8568,"Preciado Coronado, Hugo Enrique (COL)",40293,55-59,01:48:22,03:32:24
11292,11282,8569,"Perez, Franklin (USA)",16230,30-34,01:42:59,03:32:24
11293,11283,8570,"Tang, Tat Weng (MAC)",6511,50-54,01:36:10,03:32:24
11294,11284,8571,"Arcos Ocon, Ruben (ESP)",10959,45-49,01:44:32,03:32:24
11295,11285,8572,"Burdine, Brandon (USA)",37890,25-29,01:44:04,03:32:24
11296,11286,2683,"Plumley, Christa (CAN)",5251,50-54,01:47:15,03:32:24
11297,11287,8573,"Como, James (USA)",15229,50-54,01:41:37,03:32:25
11298,11288,8574,"Netolicky, Michal (CZE)",5870,40-44,01:43:06,03:32:25
11299,11289,8575,"Reisky, Franz (BRA)",27927,35-39,01:47:09,03:32:25
11300,11290,8576,"Woodnutt, John (GBR)",26072,70-74,01:43:15,03:32:25
11301,11291,8577,"Sudjunadi, Wisakasuta (USA)",15331,50-54,01:45:47,03:32:25
11302,11292,2684,"Yu, Chi Man (HKG)",8677,35-39,01:47:13,03:32:25
11303,11293,2685,"Pecora, Melissa (USA)",16292,40-44,01:45:08,03:32:25
11304,11294,8578,"Gibson, Robert (USA)",1602,60-64,01:42:55,03:32:26
11305,11295,2686,"Straebel, Rebecca (USA)",17331,35-39,01:48:19,03:32:26
11306,11296,2687,"Shonai, Naoko (JPN)",26046,60-64,01:39:21,03:32:26
11307,11297,8579,"Gorski, Jeffrey (USA)",44889,25-29,01:45:53,03:32:27
11308,11298,8580,"Stone, Conor (IRL)",12495,25-29,01:40:21,03:32:27
11309,11299,8581,"Qirem, Tarik (IRL)",11743,45-49,01:45:08,03:32:27
11310,11300,2688,"Velmer, Zhihong (CAN)",20443,55-59,01:42:02,03:32:27
11311,11301,2689,"Qirem, Carlie (GBR)",11744,35-39,01:45:08,03:32:27
11312,11302,8582,"Hollenbach, Ryan (USA)",16024,35-39,01:42:09,03:32:27
11313,11303,8583,"Lazarczuk, Kamil (POL)",17308,40-44,01:45:45,03:32:28
11314,11304,8584,"Nitel, Gautier (FRA)",3044,30-34,01:24:55,03:32:28
11315,11305,8585,"Van Der Reijden, Mirek (NED)",10739,30-34,01:43:38,03:32:28
11316,11306,8586,"Calderon, Luis (MEX)",10710,50-54,01:42:02,03:32:28
11317,11307,8587,"Meyer, Jacob (USA)",13724,40-44,01:47:21,03:32:28
11318,11308,8588,"Maya Alcaraz, Oscar Erich (MEX)",7313,50-54,01:29:47,03:32:28
11319,11309,8589,"Tsuyuki, Mikito (JPN)",26835,65-69,01:45:08,03:32:28
11320,11310,8590,"Sosa, Brian (USA)",15096,35-39,01:45:13,03:32:29
11321,11311,2690,"Windham, Cathryn (USA)",21564,40-44,01:46:27,03:32:29
11322,11312,8591,"VanHouten, Desmond (USA)",16997,40-44,01:45:32,03:32:29
11323,11313,8592,"Russo, Adam (USA)",19925,35-39,01:44:02,03:32:29
11324,11314,2691,"Clark, Erin (USA)",13096,30-34,01:45:54,03:32:30
11325,11315,8593,"Robles, Angel (ECU)",29871,45-49,01:49:11,03:32:30
11326,11316,2692,"Anstey, Bernell (CAN)",3309,45-49,01:46:00,03:32:30
11327,11317,2693,"Mallory, Hannah (USA)",13657,30-34,01:44:39,03:32:31
11328,11318,8594,"Pascuzzo, Anthony (USA)",39240,25-29,01:49:46,03:32:31
11329,11319,2694,"O'Shaughnessy, Cara (USA)",13100,50-54,01:44:18,03:32:31
11330,11320,8595,"Bravo, Marcos (CHI)",34305,45-49,01:48:04,03:32:32
11331,11321,2695,"Runyon, Jill (USA)",13956,35-39,01:47:06,03:32:32
11332,11322,8596,"Flynn, Robert (USA)",18242,40-44,01:39:33,03:32:32
11333,11323,8597,"Blake, Patrick (IRL)",8752,35-39,01:47:30,03:32:32
11334,11324,2696,"Moe, Jackie (USA)",15254,35-39,01:44:35,03:32:32
11335,11325,8598,"Salazar, Juan (COL)",9987,40-44,01:44:15,03:32:33
11336,11326,2697,"Rozza, Ana (BRA)",2541,50-54,01:43:58,03:32:33
11337,11327,2698,"Whelan, Niamh (IRL)",29613,40-44,01:43:00,03:32:33
11338,11328,8599,"Allsopp, Mike (GBR)",12375,55-59,01:44:01,03:32:34
11339,11329,8600,"Chen, Jinguo (CHN)",6792,50-54,01:39:46,03:32:34
11340,11330,8601,"Razon, Damien (FRA)",4352,30-34,01:27:23,03:32:35
11341,11331,2699,"Danna, Caroline (USA)",19475,30-34,01:46:32,03:32:35
11342,11332,2700,"Guido, Kerry (USA)",24772,40-44,01:45:44,03:32:36
11343,11333,2701,"Oliveros, Geraldine (CHI)",4437,45-49,01:47:19,03:32:36
11344,11334,2702,"Kroon, Aileen (USA)",29708,35-39,01:46:15,03:32:36
11345,11335,2703,"Boland, Allison (CAN)",5215,35-39,01:47:06,03:32:36
11346,11336,8602,"McGimpsey, Jamie (GBR)",11521,35-39,01:46:03,03:32:36
11347,11337,8603,"Kirby, Robert (GBR)",18806,30-34,01:39:20,03:32:36
11348,11338,8604,"Ballen, Julio (COL)",6800,40-44,01:45:32,03:32:36
11349,11339,2704,"Song, Xiangyang (USA)",24520,50-54,01:47:12,03:32:37
11350,11340,2705,"Sullivan, Jessica (USA)",13935,25-29,01:47:54,03:32:37
11351,11341,8605,"Kinonen, Chris (USA)",3766,45-49,01:40:55,03:32:38
11352,11342,8606,"Happich, Tom (GER)",6872,30-34,01:38:42,03:32:38
11353,11343,2706,"Moreno Llamas, Jose (MEX)",4047,30-34,01:36:24,03:32:39
11354,11344,2707,"Irwin, Evelyn (USA)",17534,30-34,01:42:44,03:32:39
11355,11345,8607,"Povsic, Gorazd (SLO)",8494,50-54,01:42:11,03:32:39
11356,11346,8608,"Melendez, Rene (USA)",29124,45-49,01:42:34,03:32:40
11357,11347,8609,"Veronico, Brett (USA)",20727,35-39,01:45:10,03:32:40
11358,11348,8610,"Freed, Nathan (CAN)",3456,50-54,01:44:16,03:32:40
11359,11349,2708,"Redmond, Gina (USA)",13544,25-29,01:44:22,03:32:40
11360,11350,2709,"Artufel, Christel (FRA)",1676,55-59,01:42:15,03:32:40
11361,11351,8611,"Barros, Carlos (POR)",8446,65-69,01:47:57,03:32:40
11362,11352,8612,"Saineghi, Charles (USA)",47551,20-24,01:47:21,03:32:41
11363,11353,2710,"Xie, Jing (USA)",26679,45-49,01:42:54,03:32:41
11364,11354,8613,"Vera, Carlos (USA)",15867,40-44,01:40:57,03:32:41
11365,11355,2711,"Miyazaki, Valeria (BRA)",3958,45-49,01:47:13,03:32:41
11366,11356,8614,"Doborwicz, Chris (USA)",30572,30-34,01:51:07,03:32:42
11367,11357,2712,"Harris, Molly (USA)",13747,30-34,01:45:18,03:32:42
11368,11358,8615,"Hester, Sean (USA)",15406,50-54,01:45:37,03:32:43
11369,11359,8616,"Cull, David (USA)",3711,60-64,01:44:58,03:32:43
11370,11360,2713,"Ritter, Liza (USA)",24698,30-34,01:46:41,03:32:43
11371,11361,8617,"Kuckes, Dylan (USA)",23896,60-64,01:46:29,03:32:43
11372,11362,8618,"Wilson, Greg (AUS)",26726,70-74,01:46:29,03:32:43
11373,11363,8619,"Mottes, Daniel (USA)",20730,25-29,01:39:24,03:32:44
11374,11364,2714,"Tariq, Taylor (USA)",15840,30-34,01:43:45,03:32:44
11375,11365,8620,"Odio Pozuelo, Mariano (CRC)",4530,35-39,01:31:57,03:32:44
11376,11366,8621,"Lahlou, Jihad Mohamed (MAR)",9940,35-39,01:46:14,03:32:44
11377,11367,8622,"Dimond, Martin (AUS)",2457,50-54,01:45:52,03:32:44
11378,11368,8623,"Hall, Joe (USA)",33531,45-49,01:46:13,03:32:44
11379,11369,8624,"Herrero Quintero, Pablo (ESP)",8525,40-44,01:38:48,03:32:45
11380,11370,8625,"Li, Timothy (CAN)",6716,35-39,01:39:59,03:32:45
11381,11371,8626,"Pokorney, Sean (USA)",42313,25-29,01:37:54,03:32:45
11382,11372,2715,"Seyferth, Lianne (USA)",14234,30-34,01:42:01,03:32:45
11383,11373,2716,"Steele, Rachel (GBR)",29630,50-54,01:46:40,03:32:45
11384,11374,8627,"Zubo, Daniel (SVK)",11384,50-54,01:47:09,03:32:45
11385,11375,8628,"Rubeaud, Clement (USA)",16784,35-39,01:45:17,03:32:45
11386,11376,2717,"Gallo, Kassandra (CAN)",25097,40-44,01:29:13,03:32:46
11387,11377,8629,"Chin, Junsheng (SGP)",10910,35-39,01:46:33,03:32:46
11388,11378,8630,"Ben-Ari, Mike (USA)",26396,55-59,01:37:10,03:32:47
11389,11379,2718,"Brent, Carli (USA)",39167,25-29,01:45:23,03:32:47
11390,11380,8631,"Acosta, Jose (COL)",6799,60-64,01:46:38,03:32:47
11391,11381,8632,"Marean, Daniel (USA)",20449,45-49,01:36:44,03:32:47
11392,11382,8633,"Takes, Haris (USA)",22256,25-29,01:43:19,03:32:47
11393,11383,2719,"Jessup, Jennifer (USA)",22411,35-39,01:41:36,03:32:47
11394,11384,8634,"Boutte, Matthew (USA)",14361,35-39,01:41:08,03:32:47
11395,11385,2720,"Weisdack, Sarah (USA)",12821,35-39,01:50:11,03:32:47
11396,11386,8635,"Galassini, Luca (ITA)",7894,30-34,01:48:41,03:32:47
11397,11387,8636,"Meriwether, Andrew (USA)",38144,30-34,01:46:21,03:32:47
11398,11388,8637,"Medina, Leonardo (MEX)",7997,45-49,01:48:39,03:32:48
11399,11389,8638,"Fredrich, Rich (USA)",26229,65-69,01:44:39,03:32:48
11400,11390,8639,"Neves, Edwyn (BRA)",5716,40-44,01:44:34,03:32:48
11401,11391,8640,"Marquardt, Timo (GER)",21729,45-49,01:47:03,03:32:49
11402,11392,8641,"Cottrell, Matt (GBR)",11576,30-34,01:44:55,03:32:49
11403,11393,8642,"De Oliveira Vasconcelos, Talius (BRA)",2307,45-49,01:43:02,03:32:50
11404,11394,8643,"Kitzerow, Bradley (USA)",17584,35-39,01:41:21,03:32:50
11405,11395,8644,"Beven, David (AUS)",17378,35-39,01:47:25,03:32:50
11406,11396,8645,"Zastera, Martin (CZE)",19316,50-54,01:43:42,03:32:50
11407,11397,2721,"Bedwell, Lacie (USA)",17011,40-44,01:43:29,03:32:51
11408,11398,8646,"Okabe, Elton (BRA)",3415,40-44,01:42:27,03:32:51
11409,11399,8647,"Olson, David (USA)",13538,55-59,01:47:31,03:32:51
11410,11400,8648,"Zamorano, Santiago (COL)",18984,30-34,01:50:33,03:32:52
11411,11401,2722,"Beers, Dawn (USA)",26565,45-49,01:44:34,03:32:52
11412,11402,2723,"Hamilton, Bethany (USA)",19740,20-24,01:44:55,03:32:52
11413,11403,8649,"Askarov, Yerkin (KAZ)",9608,55-59,01:39:29,03:32:52
11414,11404,2724,"Wierdak, Joanna (USA)",26542,45-49,01:44:43,03:32:52
11415,11405,2725,"Decker, Brittany (USA)",13461,30-34,01:44:20,03:32:53
11416,11406,2726,"Bley, Emily (USA)",15677,25-29,01:42:30,03:32:53
11417,11407,8650,"Jurkus, Arunas (USA)",22494,55-59,01:44:29,03:32:53
11418,11408,8651,"Clark, Kevin (USA)",31359,40-44,01:48:14,03:32:54
11419,11409,8652,"Manginelli, Andrew (USA)",17426,25-29,01:41:03,03:32:54
11420,11410,2727,"Salcedo Cardenas, Jenny (MEX)",9723,40-44,01:44:39,03:32:54
11421,11411,8653,"Weldy, Josh (USA)",12848,50-54,01:44:58,03:32:54
11422,11412,8654,"Barnes, Guy (GBR)",9528,50-54,01:36:28,03:32:54
11423,11413,8655,"Jones, James (USA)",14018,40-44,01:40:21,03:32:55
11424,11414,8656,"Blokland, Paul (NED)",23199,45-49,01:32:19,03:32:55
11425,11415,2728,"Huang, Helen (USA)",16033,50-54,01:46:36,03:32:55
11426,11416,8657,"Van Orden, Glenn (USA)",1833,60-64,01:45:55,03:32:55
11427,11417,8658,"Maguire, Mike (CAN)",4884,40-44,01:45:29,03:32:55
11428,11418,8659,"Parisi, Pasquale (ITA)",24478,50-54,01:39:12,03:32:56
11429,11419,8660,"Srygley, William (USA)",2853,40-44,01:43:23,03:32:56
11430,11420,2729,"Blake, Jocelyn (USA)",37355,30-34,01:45:55,03:32:56
11431,11421,8661,"Wongwatroj, Jaiprapas (THA)",35131,30-34,01:40:41,03:32:56
11432,11422,2730,"Ciuzaite, Egle (LTU)",26048,40-44,01:42:26,03:32:56
11433,11423,8662,"Luna, Justin (USA)",15265,25-29,01:37:05,03:32:56
11434,11424,2731,"Ballester, Maria Ines (ARG)",16800,55-59,01:44:14,03:32:56
11435,11425,8663,"Janelle, Eric (CAN)",3445,50-54,01:44:03,03:32:56
11436,11426,2732,"Lee, Tammy (GBR)",11557,40-44,01:45:01,03:32:56
11437,11427,8664,"Bouchard, Dany (CAN)",6671,60-64,01:44:10,03:32:56
11438,11428,8665,"Monasterio, Napo (USA)",18490,40-44,01:37:03,03:32:56
11439,11429,8666,"Cantey, Paul (USA)",15296,50-54,01:40:55,03:32:56
11440,11430,8667,"Lewis, Jake (USA)",16247,35-39,01:43:08,03:32:57
11441,11431,8668,"El yahyaoui, Samir (FRA)",23514,35-39,01:45:26,03:32:57
